net,length_um
po_0.regf_0.rf\[11\]\[11\],15.34
_0685_,15.22
_1203_,15.19
po_0.regf_0.rf\[14\]\[10\],15.11
_0521_,15.06
_0681_,15.02
_0652_,14.98
po_0.regf_0.rf\[13\]\[11\],14.96
net52,14.96
_0677_,14.94
po_0.regf_0.rf\[12\]\[15\],14.92
_0544_,14.88
_0585_,14.88
_0743_,14.8
po_0.regf_0.rf\[6\]\[10\],14.77
_0625_,14.74
_0633_,14.74
po_0.regf_0.w_addr\[1\],14.72
net169,14.54
po_0.regf_0.rf\[13\]\[5\],14.52
po_0.regf_0.rf\[1\]\[15\],14.52
po_0.regf_0.rf\[0\]\[12\],14.5
po_0.regf_0.rf\[5\]\[9\],14.46
po_0.regf_0.rf\[13\]\[9\],14.42
_1365_,14.4
po_0.regf_0.rf\[15\]\[9\],14.4
po_0.regf_0.rf\[12\]\[13\],14.38
po_0._1_\[10\],14.34
po_0.regf_0.rf\[1\]\[4\],14.26
net75,14.26
_0239_,14.205
_1389_,14.18
_0444_,14.1
_1163_,14.01
_1145_,13.96
po_0.regf_0.rf\[12\]\[2\],13.92
po_0.regf_0.rf\[8\]\[15\],13.92
_0341_,13.88
po_0.alu_0._11_\[5\],13.88
_0514_,13.84
_1254_,13.84
_0774_,13.82
_1156_,13.8
po_0.regf_0.rf\[3\]\[15\],13.8
po_0.regf_0.rf\[1\]\[7\],13.76
po_0.regf_0.rf\[13\]\[0\],13.72
po_0.regf_0.rf\[3\]\[3\],13.72
_0816_,13.695
_0583_,13.64
_0684_,13.62
_0820_,13.56
po_0.alu_0._11_\[8\],13.56
_0946_,13.5
po_0.regf_0.rf\[8\]\[13\],13.5
_1319_,13.28
po_0.regf_0.rf\[15\]\[12\],13.28
_1161_,13.24
po_0.regf_0.rf\[15\]\[6\],13.16
_0729_,13.12
_0777_,13.1
_0385_,13.08
_0453_,13.08
I_data[0],13.04
po_0.regf_0.rf\[7\]\[11\],13
_0660_,12.92
po_0.regf_0.rp_addr\[3\],12.92
_1367_,12.8
_0104_,12.785
D_R_data[8],12.74
_1176_,12.74
_0601_,12.72
_0483_,12.66
_1148_,12.66
_0815_,12.64
po_0.regf_0.rf\[13\]\[10\],12.62
_1356_,12.58
_0624_,12.46
_0664_,12.46
_0710_,12.46
_1198_,12.38
po_0.alu_0._11_\[11\],12.38
_0295_,12.365
I_addr[11],12.36
_1357_,12.34
_0400_,12.3
_0654_,12.3
_0079_,12.235
po_0.regf_0.rf\[8\]\[2\],12.22
_0888_,12.2
_1137_,12.08
_1040_,12.04
po_0.regf_0.rp_addr\[2\],12
_1316_,11.94
_0938_,11.92
_0588_,11.88
_1153_,11.88
po_0.muxf_0.rf_w_data\[6\],11.84
po_0.regf_0.rf\[13\]\[2\],11.78
_1158_,11.77
_1180_,11.76
_0746_,11.7
_1306_,11.64
_0915_,11.58
po_0.regf_0.rf\[13\]\[3\],11.58
_0532_,11.54
_0336_,11.525
_1394_,11.52
_0439_,11.5
_0563_,11.48
_1313_,11.48
_0640_,11.42
po_0.alu_0.s0,11.42
po_0.regf_0.rf\[11\]\[7\],11.38
po_0.regf_0.rf\[8\]\[12\],11.32
_0662_,11.28
po_0.regf_0.rf\[1\]\[10\],11.28
